ID;LATITUDE;LONGITUDE;Mun/UF;MUNICIPIO;UF;Valor
4846;-23,62;-45,41;CARAGUATATUBA - SP;CARAGUATATUBA;SP;417433,704057647
4847;-23,52;-46,83;CARAPICUIBA - SP;CARAPICUIBA;SP;2111621,70988155
4848;-20,08;-49,91;CARDOSO - SP;CARDOSO;SP;72336,6866787651
4849;-21,77;-47,08;CASA BRANCA - SP;CASA BRANCA;SP;164893,561271276
4850;-21,28;-47,17;CASSIA DOS COQUEIROS - SP;CASSIA DOS COQUEIROS;SP;17647,3263102894
4851;-20,87;-51,48;CASTILHO - SP;CASTILHO;SP;100225,346045012
4852;-21,13;-48,97;CATANDUVA - SP;CATANDUVA;SP;676401,251370009
4853;-21,04;-49,05;CATIGUA - SP;CATIGUA;SP;44858,3251588627
4854;-20,9;-49,26;CEDRAL - SP;CEDRAL;SP;38712,4563194075
4855;-23,03;-49,16;CERQUEIRA CESAR - SP;CERQUEIRA CESAR;SP;83984,8632693327
4856;-23,16;-47,74;CERQUILHO - SP;CERQUILHO;SP;173213,192667041
4857;-23,22;-47,95;CESARIO LANGE - SP;CESARIO LANGE;SP;88461,9367519225
4858;-22,51;-47,77;CHARQUEADA - SP;CHARQUEADA;SP;77146,0209904071
4859;-23,03;-49,7;CHAVANTES - SP;CHAVANTES;SP;75748,2886135837
4860;-21,56;-50,44;CLEMENTINA - SP;CLEMENTINA;SP;31607,7536475386
4861;-20,71;-48,54;COLINA - SP;COLINA;SP;107994,971871749
4862;-20,17;-48,68;COLOMBIA - SP;COLOMBIA;SP;38253,2065592885
4863;-22,33;-47,17;CONCHAL - SP;CONCHAL;SP;148836,861734259
4864;-23,01;-48,01;CONCHAS - SP;CONCHAS;SP;79296,800565929
4865;-22,48;-47,45;CORDEIROPOLIS - SP;CORDEIROPOLIS;SP;100673,561150813
4866;-21,35;-50,28;COROADOS - SP;COROADOS;SP;29956,3005983329
4867;-23,63;-49,31;CORONEL MACEDO - SP;CORONEL MACEDO;SP;38570,3590455673
4868;-22,22;-47,62;CORUMBATAI - SP;CORUMBATAI;SP;24106,7991073819
4869;-22,64;-47,19;COSMOPOLIS - SP;COSMOPOLIS;SP;260290,162164634
4870;-20,47;-49,77;COSMORAMA - SP;COSMORAMA;SP;49975,2278539438
4871;-23,6;-46,91;COTIA - SP;COTIA;SP;859742,795988877
4872;-21,34;-47,72;CRAVINHOS - SP;CRAVINHOS;SP;167447,038265458
4873;-20,39;-47,42;CRISTAIS PAULISTA - SP;CRISTAIS PAULISTA;SP;41044,3069015618
4874;-22,73;-50,79;CRUZALIA - SP;CRUZALIA;SP;17367,1237690189
4875;-22,57;-44,96;CRUZEIRO - SP;CRUZEIRO;SP;447792,982651361
4876;-23,89;-46,42;CUBATAO - SP;CUBATAO;SP;602239,729537161
4877;-23,07;-44,96;CUNHA - SP;CUNHA;SP;132770,774602155
4878;-21,9;-47,61;DESCALVADO - SP;DESCALVADO;SP;184034,955925154
4879;-23,68;-46,62;DIADEMA - SP;DIADEMA;SP;2223755,31955417
4880;-20,46;-50,6;DIRCE REIS - SP;DIRCE REIS;SP;11052,1685960001
4881;-21,66;-46,73;DIVINOLANDIA - SP;DIVINOLANDIA;SP;75133,5513980664
4882;-21,51;-48,39;DOBRADA - SP;DOBRADA;SP;48565,5902138358
4883;-22,36;-48,38;DOIS CORREGOS - SP;DOIS CORREGOS;SP;139981,958134163
4884;-20,12;-50,51;DOLCINOPOLIS - SP;DOLCINOPOLIS;SP;14735,5376614584
4885;-22,1;-48,31;DOURADO - SP;DOURADO;SP;52980,5048131463
4886;-21,48;-51,53;DRACENA - SP;DRACENA;SP;267924,883688573
4887;-22,41;-49,4;DUARTINA - SP;DUARTINA;SP;80751,703320041
4888;-21,23;-47,97;DUMONT - SP;DUMONT;SP;34804,3088260799
4889;-22,42;-50,2;ECHAPORA - SP;ECHAPORA;SP;41943,7107492226
4890;-24,52;-48,1;ELDORADO - SP;ELDORADO;SP;88126,4603579552
4891;-23,04;-47,37;ELIAS FAUSTO - SP;ELIAS FAUSTO;SP;80727,8197786844
4892;-21,16;-49,11;ELISIARIO - SP;ELISIARIO;SP;16828,3773504997
4893;-20,98;-48,83;EMBAUBA - SP;EMBAUBA;SP;16947,4083776422
4894;-23,64;-46,85;EMBU - SP;EMBU;SP;1275412,43861907
4895;-23,83;-46,81;EMBU-GUACU - SP;EMBU-GUACU;SP;281316,592209757
4896;-21,83;-51,48;EMILIANOPOLIS - SP;EMILIANOPOLIS;SP;16788,1568818685
4897;-22,48;-47,21;ENGENHEIRO COELHO - SP;ENGENHEIRO COELHO;SP;60390,4053371757
4898;-22,19;-46,74;ESPIRITO SANTO DO PINHAL - SP;ESPIRITO SANTO DO PINHAL;SP;258579,497438672
4899;-22,69;-49,43;ESPIRITO SANTO DO TURVO - SP;ESPIRITO SANTO DO TURVO;SP;18933,1748280965
4900;-22,27;-46,94;ESTIVA GERBI - SP;ESTIVA GERBI;SP;49332,9466050965
4901;-22,48;-51,66;ESTRELA DO NORTE - SP;ESTRELA DO NORTE;SP;53118,6322230433
4902;-20,28;-50,4;ESTRELA D'OESTE - SP;ESTRELA D'OESTE;SP;16763,6930571838
4903;-22,56;-52,59;EUCLIDES DA CUNHA PAULISTA - SP;EUCLIDES DA CUNHA PAULISTA;SP;64933,3897355896
4904;-23,38;-49,51;FARTURA - SP;FARTURA;SP;93762,7227534379
4905;-21,26;-48,68;FERNANDO PRESTES - SP;FERNANDO PRESTES;SP;34898,2817534178
4906;-20,28;-50,24;FERNANDOPOLIS - SP;FERNANDOPOLIS;SP;399135,039468362
4907;-22,35;-49,52;FERNAO - SP;FERNAO;SP;9374,88568539301
4908;-23,54;-46,36;FERRAZ DE VASCONCELOS - SP;FERRAZ DE VASCONCELOS;SP;781330,476528402
4909;-21,67;-51,38;FLORA RICA - SP;FLORA RICA;SP;14295,4700529854
4910;-20,67;-50,14;FLOREAL - SP;FLOREAL;SP;23489,9685436953
4911;-21,61;-51,17;FLORIDA PAULISTA - SP;FLORIDA PAULISTA;SP;72094,1445375459
4912;-22,9;-50,73;FLORINIA - SP;FLORINIA;SP;21208,8411598134
4913;-20,53;-47,4;FRANCA - SP;FRANCA;SP;1727713,29379853
4914;-23,28;-46,74;FRANCISCO MORATO - SP;FRANCISCO MORATO;SP;643984,468954389
4915;-23,32;-46,72;FRANCO DA ROCHA - SP;FRANCO DA ROCHA;SP;629366,462671162
4916;-21,53;-50,55;GABRIEL MONTEIRO - SP;GABRIEL MONTEIRO;SP;16875,4320452599
4917;-22,29;-49,55;GALIA - SP;GALIA;SP;50458,0083406516
4918;-22,21;-49,65;GARCA - SP;GARCA;SP;267966,944038158
4919;-20,79;-50,18;GASTAO VIDIGAL - SP;GASTAO VIDIGAL;SP;24002,6243449344
4920;-21,83;-48,49;GAVIAO PEIXOTO - SP;GAVIAO PEIXOTO;SP;27404,9495189427
4921;-20,64;-50,36;GENERAL SALGADO - SP;GENERAL SALGADO;SP;69708,8991931876
4922;-21,79;-49,92;GETULINA - SP;GETULINA;SP;58750,6652438349
4923;-21,38;-50,21;GLICERIO - SP;GLICERIO;SP;25388,4537738314
4924;-21,62;-49,79;GUAICARA - SP;GUAICARA;SP;54767,390494225
4925;-21,91;-49,89;GUAIMBE - SP;GUAIMBE;SP;30788,1408867809
4926;-20,31;-48,31;GUAIRA - SP;GUAIRA;SP;208840,571096031
4927;-20,79;-49,22;GUAPIACU - SP;GUAPIACU;SP;81116,1948845705
4928;-24,18;-48,53;GUAPIARA - SP;GUAPIARA;SP;125866,020617751
4929;-20,42;-47,82;GUARA - SP;GUARA;SP;122318,304876306
4930;-21,02;-51,2;GUARACAI - SP;GUARACAI;SP;61338,0109496503
4931;-20,49;-48,94;GUARACI - SP;GUARACI;SP;53017,1607630431
4932;-20,07;-50,33;GUARANI D'OESTE - SP;GUARANI D'OESTE;SP;13482,9548645522
4933;-21,89;-49,59;GUARANTA - SP;GUARANTA;SP;34590,1655036343
4934;-21,26;-50,64;GUARARAPES - SP;GUARARAPES;SP;175216,288397972
4935;-23,41;-46,03;GUARAREMA - SP;GUARAREMA;SP;118801,456949302
4936;-22,81;-45,19;GUARATINGUETA - SP;GUARATINGUETA;SP;592503,606618351
4937;-23,37;-48,18;GUAREI - SP;GUAREI;SP;55671,3096616858
4938;-21,36;-48,22;GUARIBA - SP;GUARIBA;SP;201397,848470269
4939;-23,99;-46,25;GUARUJA - SP;GUARUJA;SP;1528054,99824192
4940;-23,46;-46,53;GUARULHOS - SP;GUARULHOS;SP;972384
4941;-21,49;-48,03;GUATAPARA - SP;GUATAPARA;SP;40913,0346317888
4942;-20,65;-50,66;GUZOLANDIA - SP;GUZOLANDIA;SP;29029,0021675057
4943;-22;-50,38;HERCULANDIA - SP;HERCULANDIA;SP;50989,6125310889
4944;-22,63;-47,05;HOLAMBRA - SP;HOLAMBRA;SP;41107,3240717382
4945;-22,85;-47,22;HORTOLANDIA - SP;HORTOLANDIA;SP;713894,642188507
4946;-21,89;-49,02;IACANGA - SP;IACANGA;SP;51025,6672732399
4947;-21,85;-50,68;IACRI - SP;IACRI;SP;43688,1875551168
4948;-22,87;-49,16;IARAS - SP;IARAS;SP;18311,4300865079
4949;-21,95;-47,99;IBATE - SP;IBATE;SP;152357,096203686
4950;-21,08;-49,24;IBIRA - SP;IBIRA;SP;56612,4503133511
4951;-22,81;-50,07;IBIRAREMA - SP;IBIRAREMA;SP;38773,9173648352
4952;-21,75;-48,82;IBITINGA - SP;IBITINGA;SP;254733,809200113
4953;-23,65;-47,22;IBIUNA - SP;IBIUNA;SP;376485,189186414
4954;-20,34;-49,19;ICEM - SP;ICEM;SP;44994,9510079901
4955;-22,66;-51,07;IEPE - SP;IEPE;SP;47577,8071430845
4956;-22,5;-48,55;IGARACU DO TIETE - SP;IGARACU DO TIETE;SP;142238,254053809
4957;-20,03;-47,74;IGARAPAVA - SP;IGARAPAVA;SP;178477,360196065
4958;-23,2;-46,15;IGARATA - SP;IGARATA;SP;37376,5224138936
4959;-24,7;-47,55;IGUAPE - SP;IGUAPE;SP;172288,25063026
